Index,PMIDs,Exposure,Outcome,Effectsize,Measurement,SD,p,Pln,Trn,Samplesize,t,df,Numberofgroups,Numberofdropoutsandmissingdata,Primaryoutcomevariablespecified,Numberofprimaryoutcomevariables,Numberofsecondaryoutcomevariables,Intentiontotreat,ModifiedITT,Powercalculationincluded,Statisticalmethodssectionincluded,Studytype,Randomized,Randomizedadequately,Singleblinded,Doubleblinded,Blindanalysis,Controlled,Placebocontrolled,Subjectiveoutcome,Sourceofsubjectivity,Adjustmentforconfounding,Subgroupanalysesincluded,Numberofsubgroupanalyses,Numberofsubgroups,Subgroupswithpositiveresults,Preregistration,Demographicstable,Numberofvariablesindemographicstable,Publicationyear,Journal,ISSN,eISSN,Numberofauthors,Numberofreferencescited,Openaccess,Country,Hasimpactfactor,Impactfactor,PercentofIFfromselfcitation,Eigenfactor,MEDLINEindexing,WebofScienceindexing,DOAJindexing,Citewatch,Fundingstatement,Governmentsupport,Companysupport,Nonprofitsupport,COIstatement,COIdeclared,Totalpublicationsfirstauthor,Totalpublicationslastauthor,hindexfirstauthor,hindexlastauthor,Yearssincefirstpublicationfirstauthor,Yearssincefirstpublicationlastauthor,Publicationsperyearfirstauthor,Publicationsperyearlastauthor,Totalcitationsfirstauthor,Totalcitationslastauthor,Totalcoauthorsfirstauthor,Totalcoauthorslastauthor,Atleastoneretractedpaperfirstauthor,Atleastoneretractedpaperlastauthor,Limitationsdiscussed,Numberofcitingarticles,Citationsperyear,NumberofcitingMAs,CitationsfromMAsperyear,Numberofcitingreviews,Citationsfromreviewsperyear,Authorselfcitations,Authorselfcitationrate,Journalselfcitations,Journalselfcitationrate,Numberofuniquecitingjournals,Numberofuniquejournalspercitation,NumberofcitationswithIF,ProportionofcitationswithIF,AverageIFofcitations,NumberofMedlineindexedcitations,ProportionofMedlineindexedcitations,NumberofWebofScienceindexedcitations,ProportionofWebofScienceindexedcitations,NumberofDOAJindexedcitations,ProportionofDOAJindexedcitations,NumberofCitewatchflaggedcitations,ProportionofCitewatchflaggedcitations,Erroridentified,Conclusions,Conclusionpresentsvalidmaineffectcorrectly,Conclusionhaspositivecomponentoneffectiveness,Positivecomponentconflictswithprimaryanalysis,Sourceofpositivecomponent,Furtherresearchrecommended,V108
1,16296913,Individualized homeopathic remedy,Conners Global Index - Parent (Global Index total),-.4,SMD,.31, ,21,22,43,-1.31113300905814,41,2,6,y,1,11,y,y,n,y,Clinical trial,y,y,y,y,y,y,y,y,patient,y,n,0,0,0,n,y,15,2005,"Journal of alternative and complementary medicine (New York, N.Y.)",1075-5535,1557-7708,5,30,y,USA,y,2.116,6.206,0.00355,n,y,NA,n,y,y,n,n,n,NA,38,245,14,45,14,18,1.31,7.21,561,6507,74,1292,n,n,y,9,.5,0,0,3,.17,0,0,0,0,8,.89,5,0.56,4.031,2,0.22,4,0.44,4,0.8,0,0,Within-group error; also not adjusted for multiple testing,This pilot study provides no evidence to support a therapeutic effect of individually selected homeopathic remedies in children with ADHD. A therapeutic effect of the homeopathic encounter is suggested and warrants further evaluation. Future studies should be carried out over a longer period of time and should include a control group that does not receive the homeopathic consultation. Comparison to conventional stimulant medication for ADHD also should be considered.,y,y,y,Within-group comparison,y, 
2,11341460,Betula 30c,Allergy symptom score,-.34,SMD,.28, ,26,25,51,-1.21380943040221,49,4,0,y,1,1,y,y,n,y,Clinical trial,y,unclear,y,y,n,y,y,y,patient,n,n,0,0,0,n,n,NA,2001,The British homoeopathic journal,0007-0785,NA,1,14,n,Norway,n,NA,NA,NA,n,n,NA,n,y,y,n,n,n,NA,5,5,4,4,1,1,2.5,2.5,74,74,13,13,n,n,n,1,.05,0,0,0,0,0,0,0,0,1,1,1,1,1.636,0,0,1,1,1,1,0,0,Within-group error,"In conclusion, the most plausible interpretation of the present results is that people participating in a trial twice tend to answer in much the same way both times, but this tendency did not, by accident, show up in the two groups where remedies were changed (BP and PB). This could simply be due to the small size of the groups. To achieve positive correlations significantly (P < 0.05, two-tailed test) different from zero and with the same regression results as found (Figure 3C and D), 50 persons in group PB and 240 in group BP would have been needed, (power 0.8). For the same reason, we cannot draw any conclusions about the effect of Betula 30c vs placebo from this trial.",n,n,NA,NA,n, 
3,9758072,Arnica 30x,Mean 2-day visual analogue score,-.17,SMD,.1, ,200,200,400,-1.7,398,2,119,y,1,7,n,y,y,y,Clinical trial,y,y,y,y,y,y,y,y,patient,n,y,1,1,0,n,y,7,1998,The Clinical journal of pain,0749-8047,1536-5409,5,8,n,UK,y,2.763,4.494,0.00876,y,y,NA,n,y,n,n,y,n,NA,643,52,93,21,5,3,22.17,2,26302,2829,1498,87,n,n,n,9,.36,1,.04,1,.04,2,0.22,0,0,9,1,8,0.89,6.833,5,0.56,7,0.78,4,0.8,1,0.11, ,Homeopathic Arnica 30× is ineffective for muscle soreness following long-distance running.,y,n,NA,NA,n, 
5,11479782,Individualized homeopathic remedy,Menstrual Distress Questionnaire score,.76,SMD,.48, ,8,11,19,1.63560386402087,17,2,4,y,1,3,n,y,n,y,Clinical trial,y,unclear,y,y,n,y,y,y,patient,n,n,0,0,0,n,y,11,2001,The British homoeopathic journal,0007-0785,NA,6,10,y,Israel,n,NA,NA,NA,n,n,NA,n,y,n,y,n,n,NA,3,234,1,46,6,29,.12,4.88,36,11417,7,1287,n,n,n,3,.14,1,.05,1,.05,0,0,0,0,3,1,2,0.67,2.16,0,0,1,0.33,1,1,1,0.5, ,Homeopathic treatment was found to be effective in alleviating the symptoms of PMS in comparison to placebo.,n,y,y,Within-group comparison,y, 
6,9429007,"Homoeopathic complex ofArnica 30c, Rhus tox 30c, and sarcolactic acid 30c",Mean 5-day muscle soreness score,-.18,SMD,.27, ,28,29,57,-.679380522782956,55,2,11,y,1,4,n,y,n,y,Clinical trial,y,y,y,y,y,y,y,y,patient,n,y,unclear,unclear,unclear,n,y,6,1997,British journal of sports medicine,0306-3674,1473-0480,5,8,y,UK,y,11.464,9.59,0.03996,y,y,NA,n,y,n,n,y,n,NA,643,390,93,51,4,17,22.17,9.51,26302,8192,1498,631,n,n,n,4,.15,0,0,1,.04,1,0.25,0,0,4,1,3,0.75,5.415,3,0.75,3,0.75,2,1,0,0, ,The study did not find benefit of the homoeopathic remedy in DOMS. Bench stepping may not be an appropriate model to evaluate the effects of a treatment on DOMS because of wide variation between subject soreness scores.,y,n,NA,NA,y, 
7,2610800,Cantharis,Pain from minor burns,.25,SMD,.34, ,17,17,34,.728868986855662,32,2,unclear,n,1,1,unclear,unclear,n,n,Clinical trial,y,unclear,unclear,unclear,unclear,y,y,y,patient,n,n,0,0,0,n,n,NA,1989,Archives of emergency medicine,0264-4924,NA,2,1,y,UK,n,NA,NA,NA,n,n,n,n,n,NA,NA,NA,n,NA,37,21,6,9,4,6,1.09,.75,93,246,28,31,n,n,n,3,.09,1,.03,0,0,0,0,0,0,3,1,2,0.67,14.961,1,0.33,2,0.67,1,1,0,0, ,Under double blind conditions no statistically significant difference was found between Cantharis and a placebo.,y,n,NA,NA,n, 
8,7983994,Oral homoeopathic immunotherapy,Allergy symptom intensity score,.73,SMD,.42, ,13,11,24,1.78190791943168,22,2,4,y,1,6,n,y,y,y,Clinical trial,y,unclear,y,y,y,y,y,y,patient,n,n,0,0,0,n,y,7,1994,"Lancet (London, England)",0140-6736,1474-547X,8,32,n,UK,y,59.207,1.959,0.43787,y,y,NA,n,y,y,n,y,n,NA,68,50,19,19,11,15,2.27,1.25,1245,1274,143,209,n,n,n,30,1.03,1,.03,8,.28,0,0,0,0,17,.57,29,0.97,9.526,20,0.67,28,0.93,10,0.71,2,0.09, ,For now the critical tests remain clinical. Our results lead us to conclude that homoeopathy differs from placebo in an inexplicable but reproducible way.,y,y,y,Alternative between-group comparison,n, 
10,10703904,Belladonna 7cH and X-ray 15cH,Index of Total Severity (composite measure),.3,SMD,.26, ,32,29,61,1.17011979210201,59,2,5,n,2,4,n,unclear,n,y,Clinical trial,y,unclear,y,y,n,y,y,y,provider,n,n,0,0,0,n,n,NA,2000,The British homoeopathic journal,0007-0785,NA,4,14,n,Italy,n,NA,NA,NA,n,n,NA,n,n,NA,NA,NA,n,NA,19,172,10,46,16,25,.54,3.74,424,6765,78,435,n,n,n,8,.35,0,0,3,.13,0,0,0,0,6,.75,7,0.88,43.836,5,0.62,5,0.62,6,1,1,0.12,Not adjusted for multiple testing,"The differences of the scores of the Index of Total Severity during Radiotherapy were not statistically significant, but showed a trend towards a better activity of the homoeopathic medicine compared to placebo. Analysis of the data on Total Severity during recovery, showed a statistically significant benefit of the active medicines over placebo. The homeopathic medicines had particular effectiveness on the heat of the skin.",n,y,y,Non-significant result,y, 
11,9137850,Individualized homeopathic remedy,Headache,0,SMD,.21, ,37,61,98,0,96,2,3,y,3,9,n,y,y,y,Clinical trial,y,y,y,y,unclear,y,y,y,patient,n,n,0,0,0,n,y,9,1997,Cephalalgia : an international journal of headache,0333-1024,1468-2982,9,9,n,Germany,y,4.315,11.36,0.01199,y,y,NA,n,y,n,n,y,n,NA,288,75,40,17,7,17,9,2.14,6965,766,345,100,n,n,y,12,.46,1,.04,4,.15,2,0.17,0,0,12,1,10,0.83,3.767,8,0.67,8,0.67,2,0.5,0,0, ,There was no significant difference in any parameter between homeopathy and placebo.,y,n,NA,NA,n, 
12,8165068,Individualized homeopathic remedy,Acute childhood diarrhea,.44,SMD,.23, ,41,40,81,1.97984910261762,79,2,11,y,1,9,n,unclear,y,y,Clinical trial,y,y,y,y,y,y,y,y,patient,y,y,unclear,unclear,4,n,y,17,1994,Pediatrics,0031-4005,1098-4275,5,31,n,USA,y,5.035,6.046,0.09691,y,y,NA,NA,y,n,y,y,n,NA,38,14,14,8,3,3,1.31,.82,561,335,74,32,n,n,y,15,.52,0,0,1,.03,0,0,0,0,13,.87,14,0.93,2.579,8,0.53,14,0.93,6,0.75,1,0.1,Not adjusted for multiple testing,The statistically significant decrease in the duration of diarrhea in the treatment group suggests that homeopathic treatment might be useful in acute childhood diarrhea. Further study of this treatment deserves consideration.,n,y,n,NA,y, 
14,2876326,Mixed grass pollens 30C,Allergy symptom intensity score,.62,SMD,.17, ,70,74,144,3.71856453785896,142,2,18,y,1,1,n,unclear,y,y,Clinical trial,y,unclear,y,y,y,y,y,y,patient,y,n,0,0,0,n,y,18,1986,"Lancet (London, England)",0140-6736,1474-547X,4,40,n,UK,y,59.207,1.959,0.43787,y,y,NA,n,y,n,n,y,n,NA,68,129,19,39,3,7,2.27,4.3,1245,4887,143,256,n,n,n,38,1.03,1,.03,10,.27,0,0,0,0,18,.47,33,0.87,10.151,26,0.68,31,0.82,5,0.36,3,0.11,Within-group error, The homoeopathically treated patients showed a significant reduction in patient and doctor assessed symptom scores. The significance of this response was increased when results were corrected for pollen count and the response was associated with a halving of the need for antihistamines. An initial aggravation of symptoms was noted more often in patients receiving the potency and was followed by an improvement in that group. No evidence emerged to support the idea that placebo action fully explains the clinical responses to homoeopathic drugs.,n,y,n,NA,n, 
20,1596811,Combined homeopathic tinctures,Proportion of patients healed,.02,SMD,.4, ,84,87,171,.130746842570309,169,2,3,y,3,1,n,unclear,y,y,Clinical trial,y,y,y,y,y,y,y,y,provider,y,y,1,1,0,n,y,7,1992,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,0820-3946,1488-2329,4,12,n,Canada,y,7.151,7.658,0.01618,y,y,y,NA,y,n,y,n,n,NA,198,8,38,5,7,13,5.5,.28,3994,101,477,27,n,n,y,7,.23,1,.03,3,.1,0,0,0,0,6,.86,6,0.86,3.814,3,0.43,6,0.86,1,0.33,0,0,Not adjusted for multiple testing,The homeopathic treatment was no more effective than the placebo treatment of plantar warts.,y,n,NA,NA,y, 
